,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
240,0.77,0.4589999999999999,9,-6.255,1,0.0646,0.387,0.0,0.0792,0.418,146.908,4,169640,Dark Trap
798,0.355,0.6859999999999999,9,-4.256,0,0.0345,0.000465,0.0455,0.542,0.172,122.75,4,173648,Dark Trap
2244,0.764,0.5660000000000001,1,-11.117,1,0.0398,0.0526,0.0197,0.113,0.181,120.026,4,105312,Dark Trap
812,0.441,0.5329999999999999,6,-8.517000000000001,1,0.118,0.331,0.000627,0.5770000000000001,0.24,177.78599999999997,4,213187,Dark Trap
567,0.682,0.8440000000000001,8,-5.291,1,0.303,0.238,0.0,0.0833,0.424,139.972,4,180857,Dark Trap
179,0.877,0.655,1,-5.3,1,0.0769,0.00181,0.0,0.0948,0.119,127.947,3,120059,Dark Trap
2348,0.701,0.424,7,-14.0,0,0.0279,0.34,0.0137,0.111,0.2769999999999999,113.532,4,101437,Dark Trap
3098,0.5760000000000001,0.833,11,-5.725,0,0.0583,0.00183,0.0107,0.0926,0.0814,130.061,4,247693,Dark Trap
2700,0.623,0.491,0,-8.219,1,0.0313,0.0458,0.0598,0.103,0.0335,199.982,4,249600,Dark Trap
1703,0.701,0.3389999999999999,4,-10.718,0,0.0713,0.524,0.00121,0.0675,0.144,151.976,4,190159,Dark Trap
376,0.723,0.201,0,-14.8,0,0.296,0.0648,0.000424,0.124,0.268,159.971,4,179352,Dark Trap
2678,0.341,0.4429999999999999,10,-10.725,0,0.0379,0.3279999999999999,0.8109999999999999,0.382,0.0574,129.908,4,211784,Dark Trap
977,0.8320000000000001,0.652,6,-6.324,1,0.257,0.151,0.0,0.0936,0.376,132.116,4,225547,Dark Trap
2721,0.569,0.956,8,-6.055,0,0.104,0.00262,0.873,0.106,0.481,140.018,4,438857,Dark Trap
4542,0.5870000000000001,0.68,10,-8.581,0,0.059,0.00151,1.2e-05,0.0683,0.345,121.999,4,354104,Dark Trap
3688,0.664,0.579,3,-6.7620000000000005,1,0.0494,0.0315,0.899,0.121,0.0392,119.965,4,216000,Dark Trap
4520,0.4539999999999999,0.6629999999999999,10,-8.665,1,0.0826,0.0317,0.0017699999999999,0.107,0.0513,127.992,4,138750,Dark Trap
2529,0.644,0.807,7,-5.805,0,0.0451,0.0032,0.852,0.138,0.3979999999999999,134.009,4,207761,Dark Trap
4112,0.83,0.649,0,-6.827000000000001,1,0.412,0.076,0.00932,0.147,0.5760000000000001,152.68,4,200516,Dark Trap
4294,0.498,0.996,1,-5.221,1,0.0813,0.0017,0.975,0.813,0.0339,147.036,4,240000,Dark Trap
2500,0.281,0.7020000000000001,9,-7.755,1,0.036,0.000221,0.63,0.272,0.107,120.129,4,264000,Dark Trap
1507,0.828,0.441,11,-9.668,0,0.283,0.499,0.103,0.1689999999999999,0.595,130.012,4,87906,Dark Trap
415,0.713,0.594,1,-10.727,1,0.0525,0.143,2.48e-05,0.395,0.358,119.968,4,176000,Dark Trap
4158,0.768,0.7340000000000001,0,-9.301,1,0.0732,0.0695,0.00101,0.11,0.352,120.014,4,234371,Dark Trap
350,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,4,174358,Dark Trap
4196,0.8909999999999999,0.8420000000000001,11,-4.262,1,0.0527,0.0011099999999999,0.149,0.0766,0.8290000000000001,124.999,4,153600,Dark Trap
4500,0.482,0.617,5,-8.972000000000001,0,0.048,6.159999999999999e-05,0.000664,0.247,0.0395,180.152,4,213130,Dark Trap
2067,0.47,0.56,11,-5.4510000000000005,1,0.122,0.0221,4.58e-06,0.5329999999999999,0.366,153.814,4,255851,Dark Trap
3292,0.4539999999999999,0.785,10,-5.905,1,0.0267,0.165,0.867,0.608,0.0599,219.996,4,209455,Dark Trap
29,0.936,0.476,1,-11.439,1,0.4029999999999999,0.0139,0.0,0.402,0.363,121.979,4,175543,Dark Trap
4457,0.605,0.705,10,-6.742000000000001,1,0.0324,0.0736,0.00806,0.0779,0.362,135.006,4,163556,Dark Trap
9944,0.7490000000000001,0.802,10,-5.78,0,0.2019999999999999,0.105,0.0,0.296,0.47,203.93400000000003,4,174357,Underground Rap
8904,0.4639999999999999,0.602,7,-8.185,1,0.125,0.86,0.0,0.162,0.664,166.748,4,162373,Underground Rap
4777,0.5770000000000001,0.6920000000000001,11,-5.96,1,0.64,0.372,0.0596,0.0989,0.0658,144.702,4,122483,Underground Rap
