,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
7121,0.455,0.487,7,-7.112,1,0.0264,0.114,2.43e-06,0.358,0.139,136.482,audio_features,29wJiSQcze8HEmxkUQykyp,spotify:track:29wJiSQcze8HEmxkUQykyp,https://api.spotify.com/v1/tracks/29wJiSQcze8HEmxkUQykyp,https://api.spotify.com/v1/audio-analysis/29wJiSQcze8HEmxkUQykyp,272133,4,Europe,7Js6Lde8thlIHXggv2SCBz,Carrie,rock
7122,0.552,0.804,8,-4.299,1,0.0303,0.00598,0.0,0.111,0.714,95.98,audio_features,6YQUuoMnRIMaOmouYoMfQr,spotify:track:6YQUuoMnRIMaOmouYoMfQr,https://api.spotify.com/v1/tracks/6YQUuoMnRIMaOmouYoMfQr,https://api.spotify.com/v1/audio-analysis/6YQUuoMnRIMaOmouYoMfQr,199413,4,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,"""99""",rock
7123,0.526,0.894,2,-4.361,0,0.0447,3.24e-05,0.344,0.179,0.737,129.951,audio_features,4AbGkIVQC5wLDPOFjdEjDu,spotify:track:4AbGkIVQC5wLDPOFjdEjDu,https://api.spotify.com/v1/tracks/4AbGkIVQC5wLDPOFjdEjDu,https://api.spotify.com/v1/audio-analysis/4AbGkIVQC5wLDPOFjdEjDu,238200,4,Ghost,1Qp56T7n950O3EGMsSl81D,Square Hammer,rock
7124,0.463,0.949,7,-3.092,1,0.0978,0.00814,1.3e-05,0.601,0.577,162.02,audio_features,1gofFAslBqWqeZ1F73GaJe,spotify:track:1gofFAslBqWqeZ1F73GaJe,https://api.spotify.com/v1/tracks/1gofFAslBqWqeZ1F73GaJe,https://api.spotify.com/v1/audio-analysis/1gofFAslBqWqeZ1F73GaJe,231987,4,blink-182,6FBDaR13swtiWwGhX1WQsP,Misery,rock
7125,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,audio_features,21tuvt3CXIsNquc32v8jpc,spotify:track:21tuvt3CXIsNquc32v8jpc,https://api.spotify.com/v1/tracks/21tuvt3CXIsNquc32v8jpc,https://api.spotify.com/v1/audio-analysis/21tuvt3CXIsNquc32v8jpc,277840,4,Audioslave,2ziB7fzrXBoh1HUPS6sVFn,Show Me How to Live,rock
7126,0.366,0.884,0,-7.929,1,0.0579,0.000858,0.456,0.109,0.434,126.776,audio_features,6slHG4DP46wkmQsy0jNOWl,spotify:track:6slHG4DP46wkmQsy0jNOWl,https://api.spotify.com/v1/tracks/6slHG4DP46wkmQsy0jNOWl,https://api.spotify.com/v1/audio-analysis/6slHG4DP46wkmQsy0jNOWl,177773,4,Volcano Suns,2yGHZnE4gUwNZptQcxDVkC,White Elephant,alt-rock
7127,0.352,0.576,10,-13.798,1,0.0318,0.101,0.85,0.134,0.678,143.64,audio_features,4kHg1mwK390WCePxUeSNzb,spotify:track:4kHg1mwK390WCePxUeSNzb,https://api.spotify.com/v1/tracks/4kHg1mwK390WCePxUeSNzb,https://api.spotify.com/v1/audio-analysis/4kHg1mwK390WCePxUeSNzb,161493,4,The Breeders,1xgFexIwrf2QjbU0buCNnp,Divine Hammer,alt-rock
7128,0.507,0.767,8,-6.339,1,0.035,0.000143,0.182,0.107,0.142,105.995,audio_features,4Pm2TkSrMAcZWN4atEYpxn,spotify:track:4Pm2TkSrMAcZWN4atEYpxn,https://api.spotify.com/v1/tracks/4Pm2TkSrMAcZWN4atEYpxn,https://api.spotify.com/v1/audio-analysis/4Pm2TkSrMAcZWN4atEYpxn,342688,4,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,Voices,alt-rock
7129,0.605,0.42,0,-10.133,1,0.029,0.0864,0.000116,0.209,0.379,94.766,audio_features,38gUElPlvL9GkZ4TsMyElq,spotify:track:38gUElPlvL9GkZ4TsMyElq,https://api.spotify.com/v1/tracks/38gUElPlvL9GkZ4TsMyElq,https://api.spotify.com/v1/audio-analysis/38gUElPlvL9GkZ4TsMyElq,255333,3,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,Please Send Me Someone To Love,blues
7130,0.374,0.528,0,-7.425,1,0.0518,0.692,0.00195,0.166,0.736,204.385,audio_features,7CUVr46BV3UuJgWfR0na9I,spotify:track:7CUVr46BV3UuJgWfR0na9I,https://api.spotify.com/v1/tracks/7CUVr46BV3UuJgWfR0na9I,https://api.spotify.com/v1/audio-analysis/7CUVr46BV3UuJgWfR0na9I,210400,3,Sonny Boy Williamson II,69VgCcXFV59QuQWEXSTxfK,Nine Below Zero,blues
7131,0.153,0.0327,7,-24.234,1,0.0415,0.977,0.827,0.104,0.0379,105.257,audio_features,2FR2V6DXmSS6GIaYs9nQ49,spotify:track:2FR2V6DXmSS6GIaYs9nQ49,https://api.spotify.com/v1/tracks/2FR2V6DXmSS6GIaYs9nQ49,https://api.spotify.com/v1/audio-analysis/2FR2V6DXmSS6GIaYs9nQ49,242000,3,Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,"Fra Holbergs tid (From Holberg's Time), Op. 40 (version for orchestra): IV. Air",classical
7132,0.298,0.0733,9,-19.304,1,0.0368,0.945,0.486,0.139,0.229,144.296,audio_features,2nMyYzS1KnNQiqsQCxkG9G,spotify:track:2nMyYzS1KnNQiqsQCxkG9G,https://api.spotify.com/v1/tracks/2nMyYzS1KnNQiqsQCxkG9G,https://api.spotify.com/v1/audio-analysis/2nMyYzS1KnNQiqsQCxkG9G,117067,4,Béla Bartók,5zyNXVd952fWOjkdGHCvPd,"Hungarian Sketches, Sz. 97: V. Swineherd's Dance from Ürög",classical
7133,0.414,0.109,10,-20.765,1,0.0355,0.968,0.891,0.129,0.427,115.634,audio_features,5KGf2YteIJOZrpV98qQHiV,spotify:track:5KGf2YteIJOZrpV98qQHiV,https://api.spotify.com/v1/tracks/5KGf2YteIJOZrpV98qQHiV,https://api.spotify.com/v1/audio-analysis/5KGf2YteIJOZrpV98qQHiV,119773,3,George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,"Concerto Grosso in B-Flat Major, Op. 3, No. 2, HWV 313: IV. Minuet",classical
7134,0.307,0.0699,6,-20.079,1,0.037,0.917,0.0707,0.0554,0.223,129.709,audio_features,1fV6m66J5DxTApxTbK3d31,spotify:track:1fV6m66J5DxTApxTbK3d31,https://api.spotify.com/v1/tracks/1fV6m66J5DxTApxTbK3d31,https://api.spotify.com/v1/audio-analysis/1fV6m66J5DxTApxTbK3d31,383680,4,Tansy Davies,3ISmCJcon9X3MthWKNK5Pu,make black white,classical
7135,0.663,0.79,2,-5.107,1,0.0332,0.122,0.0,0.0932,0.861,99.992,audio_features,1czkGv8uzFAqZXAucbmLkv,spotify:track:1czkGv8uzFAqZXAucbmLkv,https://api.spotify.com/v1/tracks/1czkGv8uzFAqZXAucbmLkv,https://api.spotify.com/v1/audio-analysis/1czkGv8uzFAqZXAucbmLkv,162160,4,Chris Lane,68abRTdO4meYReMWHvBYb0,Fishin',country
7136,0.586,0.927,2,-3.014,1,0.0547,0.0164,7.24e-06,0.153,0.549,111.977,audio_features,1ZT2SegEiHQz8EeBwe3TH1,spotify:track:1ZT2SegEiHQz8EeBwe3TH1,https://api.spotify.com/v1/tracks/1ZT2SegEiHQz8EeBwe3TH1,https://api.spotify.com/v1/audio-analysis/1ZT2SegEiHQz8EeBwe3TH1,208864,4,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,I Love This Life,country
7137,0.519,0.842,2,-4.808,0,0.039,0.261,0.0,0.218,0.441,106.06,audio_features,2rQBc9gO6Bu1AyKIo5fNgI,spotify:track:2rQBc9gO6Bu1AyKIo5fNgI,https://api.spotify.com/v1/tracks/2rQBc9gO6Bu1AyKIo5fNgI,https://api.spotify.com/v1/audio-analysis/2rQBc9gO6Bu1AyKIo5fNgI,194813,4,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,Heatwave,country
7138,0.656,0.651,2,-5.611,1,0.0349,0.104,0.0,0.054,0.849,143.988,audio_features,0NY5z0doWNFJTRy0tgWAU9,spotify:track:0NY5z0doWNFJTRy0tgWAU9,https://api.spotify.com/v1/tracks/0NY5z0doWNFJTRy0tgWAU9,https://api.spotify.com/v1/audio-analysis/0NY5z0doWNFJTRy0tgWAU9,229680,4,Steve Moakler,63t3EqMeymxd4CM85RqsCd,Hearts Don't Break That Way,country
7139,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,audio_features,2TR7A4ulH9R1PNwMyd8o8U,spotify:track:2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/tracks/2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/audio-analysis/2TR7A4ulH9R1PNwMyd8o8U,220907,4,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,This Is How We Roll,country
7140,0.412,0.998,11,-3.683,0,0.116,3.55e-06,0.0199,0.122,0.193,94.999,audio_features,0abHvyyQu4s82Vzq4z5vLI,spotify:track:0abHvyyQu4s82Vzq4z5vLI,https://api.spotify.com/v1/tracks/0abHvyyQu4s82Vzq4z5vLI,https://api.spotify.com/v1/audio-analysis/0abHvyyQu4s82Vzq4z5vLI,265613,4,Ensiferum,0krXCIkthz13P8o0v2tksH,One Man Army,heavy-metal
7141,0.473,0.995,4,-2.091,1,0.11,3.3e-06,0.714,0.33,0.0481,112.519,audio_features,1DbX8bRauglTfR7buCMetJ,spotify:track:1DbX8bRauglTfR7buCMetJ,https://api.spotify.com/v1/tracks/1DbX8bRauglTfR7buCMetJ,https://api.spotify.com/v1/audio-analysis/1DbX8bRauglTfR7buCMetJ,267413,4,Mors Principium Est,1k0jnWb55QS6FjTU9LzMhi,God Has Fallen,heavy-metal
7142,0.388,0.991,1,-3.102,0,0.098,0.000988,0.00449,0.33,0.141,94.97,audio_features,7LO9EDu8Fs4ExRyuGH9BLi,spotify:track:7LO9EDu8Fs4ExRyuGH9BLi,https://api.spotify.com/v1/tracks/7LO9EDu8Fs4ExRyuGH9BLi,https://api.spotify.com/v1/audio-analysis/7LO9EDu8Fs4ExRyuGH9BLi,230887,4,Scar Symmetry,2PQVMx0BpRQhzMWLa7X0T6,The Anomaly,heavy-metal
7143,0.267,0.991,10,-1.362,0,0.203,2.12e-05,0.31,0.318,0.0785,118.767,audio_features,1X7ihgjjw7pkJnQxbKiLET,spotify:track:1X7ihgjjw7pkJnQxbKiLET,https://api.spotify.com/v1/tracks/1X7ihgjjw7pkJnQxbKiLET,https://api.spotify.com/v1/audio-analysis/1X7ihgjjw7pkJnQxbKiLET,262923,4,Fallujah,3C5R32AIZlLfMa3uxLEYrU,Carved from Stone,heavy-metal
7144,0.692,0.983,1,-3.469,1,0.29,0.0417,0.0,0.21,0.792,75.992,audio_features,6dHatCnuOb1TdBIeJTK3Y0,spotify:track:6dHatCnuOb1TdBIeJTK3Y0,https://api.spotify.com/v1/tracks/6dHatCnuOb1TdBIeJTK3Y0,https://api.spotify.com/v1/audio-analysis/6dHatCnuOb1TdBIeJTK3Y0,319434,4,Danny Brown,7aA592KWirLsnfb5ulGWvU,Really Doe,hip-hop
7145,0.803,0.578,1,-13.264,1,0.182,0.0103,0.812,0.199,0.499,92.175,audio_features,0cfqYhY6B8PbGF9vaVNUeG,spotify:track:0cfqYhY6B8PbGF9vaVNUeG,https://api.spotify.com/v1/tracks/0cfqYhY6B8PbGF9vaVNUeG,https://api.spotify.com/v1/audio-analysis/0cfqYhY6B8PbGF9vaVNUeG,160867,4,Cypress Hill,4P0dddbxPil35MNN9G2MEX,Hits from the Bong,hip-hop
7146,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345,audio_features,0Uhnzk5zI46IRlQ04LNOtc,spotify:track:0Uhnzk5zI46IRlQ04LNOtc,https://api.spotify.com/v1/tracks/0Uhnzk5zI46IRlQ04LNOtc,https://api.spotify.com/v1/audio-analysis/0Uhnzk5zI46IRlQ04LNOtc,232533,4,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Hey Ma,hip-hop
7147,0.903,0.519,7,-10.109,1,0.307,0.0286,0.000894,0.328,0.596,101.561,audio_features,5XLC8xoqyua4U7wJiZAWik,spotify:track:5XLC8xoqyua4U7wJiZAWik,https://api.spotify.com/v1/tracks/5XLC8xoqyua4U7wJiZAWik,https://api.spotify.com/v1/audio-analysis/5XLC8xoqyua4U7wJiZAWik,350560,4,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,"Method Man (feat. Method Man, Raekwon, GZA, RZA & Ghostface Killah)",hip-hop
7148,0.843,0.7,9,-3.249,0,0.26,0.127,0.0,0.876,0.675,95.05,audio_features,65iyI1iybyv5ecsfBHSdUf,spotify:track:65iyI1iybyv5ecsfBHSdUf,https://api.spotify.com/v1/tracks/65iyI1iybyv5ecsfBHSdUf,https://api.spotify.com/v1/audio-analysis/65iyI1iybyv5ecsfBHSdUf,293053,4,Westside Connection,3zNM2tRfTX6LI1lN2PlrTt,Gangsta Nation,hip-hop
7149,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,audio_features,4E5IFAXCob6QqZaJMTw5YN,spotify:track:4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN,240800,4,G-Unit,6evKD5JWJON3qPBJtUEmtY,Poppin' Them Thangs,hip-hop
7150,0.488,0.691,0,-8.09,0,0.279,0.0219,0.0,0.501,0.697,156.141,audio_features,3cSuhzV7wKX5diQ8hos78P,spotify:track:3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/tracks/3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/audio-analysis/3cSuhzV7wKX5diQ8hos78P,310733,4,Young Money,5OrB6Jhhrl9y2PK0pSV4VP,Steady Mobbin,hip-hop
7151,0.432,0.947,2,-5.442,1,0.0945,0.00389,0.711,0.0777,0.382,147.97,audio_features,3ysiD7ZgsPc3xgGJ59DpS7,spotify:track:3ysiD7ZgsPc3xgGJ59DpS7,https://api.spotify.com/v1/tracks/3ysiD7ZgsPc3xgGJ59DpS7,https://api.spotify.com/v1/audio-analysis/3ysiD7ZgsPc3xgGJ59DpS7,271533,4,The National,2cCUtGK9sDU2EoElnk0GNB,Day I Die,indie
7152,0.467,0.645,1,-7.614,0,0.0364,0.101,0.00524,0.144,0.71,127.947,audio_features,51XZD1FCrWyU3dDWJH4nzb,spotify:track:51XZD1FCrWyU3dDWJH4nzb,https://api.spotify.com/v1/tracks/51XZD1FCrWyU3dDWJH4nzb,https://api.spotify.com/v1/audio-analysis/51XZD1FCrWyU3dDWJH4nzb,201707,3,Foxygen,55LHFEtIplWhsfyWZUwkf4,Shuggie,indie
7153,0.325,0.46,8,-7.226,1,0.0335,0.0849,3.6e-06,0.103,0.206,124.864,audio_features,1b8Zlu3aMVxEbyeospYPrK,spotify:track:1b8Zlu3aMVxEbyeospYPrK,https://api.spotify.com/v1/tracks/1b8Zlu3aMVxEbyeospYPrK,https://api.spotify.com/v1/audio-analysis/1b8Zlu3aMVxEbyeospYPrK,303387,3,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Helplessness Blues,indie
7154,0.572,0.319,3,-15.754,1,0.0283,0.763,0.0116,0.104,0.41,130.62,audio_features,3VZwP7d1U7tuQjb9JZrSRF,spotify:track:3VZwP7d1U7tuQjb9JZrSRF,https://api.spotify.com/v1/tracks/3VZwP7d1U7tuQjb9JZrSRF,https://api.spotify.com/v1/audio-analysis/3VZwP7d1U7tuQjb9JZrSRF,268760,4,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,'S Wonderful,jazz
7155,0.663,0.857,3,-3.436,1,0.0541,0.125,0.0,0.265,0.59,97.013,audio_features,3LSU7ZcnKTbxhiTot5wqf9,spotify:track:3LSU7ZcnKTbxhiTot5wqf9,https://api.spotify.com/v1/tracks/3LSU7ZcnKTbxhiTot5wqf9,https://api.spotify.com/v1/audio-analysis/3LSU7ZcnKTbxhiTot5wqf9,193608,4,Juan Magán,1ackd5XprZEkH3McKbQD51,"Rápido, Brusco, Violento",latin
7156,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.013,audio_features,0S5eBnwtkuFB0TQTlVqW6C,spotify:track:0S5eBnwtkuFB0TQTlVqW6C,https://api.spotify.com/v1/tracks/0S5eBnwtkuFB0TQTlVqW6C,https://api.spotify.com/v1/audio-analysis/0S5eBnwtkuFB0TQTlVqW6C,212893,4,Shakira,0EmeFodog0BfCgMzAIvKQp,La Tortura,latin
