,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
3663,0.496,0.632,7,-4.933,1,0.0282,0.257,1.07e-06,0.109,0.278,156.034,audio_features,1eFrhAmzoQnTlwvnqvLt7D,spotify:track:1eFrhAmzoQnTlwvnqvLt7D,https://api.spotify.com/v1/tracks/1eFrhAmzoQnTlwvnqvLt7D,https://api.spotify.com/v1/audio-analysis/1eFrhAmzoQnTlwvnqvLt7D,241147,4,Scotty McCreery,6ZV6lGY0prbqpTD0Md8i29,Five More Minutes,country
3664,0.344,0.92,1,-5.122,0,0.0487,0.00634,0.0,0.0816,0.505,115.727,audio_features,3pWvRhml43vlUrGYlIzLM6,spotify:track:3pWvRhml43vlUrGYlIzLM6,https://api.spotify.com/v1/tracks/3pWvRhml43vlUrGYlIzLM6,https://api.spotify.com/v1/audio-analysis/3pWvRhml43vlUrGYlIzLM6,222560,4,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,We Drink Your Blood,heavy-metal
3665,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,audio_features,6mapJIPnQ23RTAevUoE0DL,spotify:track:6mapJIPnQ23RTAevUoE0DL,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL,208120,4,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,Swang,hip-hop
3666,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,audio_features,0pSBuHjILhNEo55xK1zrRt,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4,Ayo & Teo,27mFvqQj8KpjmdKIqcw1mG,Rolex,hip-hop
3667,0.705,0.609,3,-5.728,1,0.0729,0.694,0.0,0.234,0.718,140.058,audio_features,4uhvMW7ly7tJil31YYscAN,spotify:track:4uhvMW7ly7tJil31YYscAN,https://api.spotify.com/v1/tracks/4uhvMW7ly7tJil31YYscAN,https://api.spotify.com/v1/audio-analysis/4uhvMW7ly7tJil31YYscAN,199993,4,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Erase Your Social,hip-hop
3668,0.739,0.549,8,-6.147,0,0.178,0.0135,0.0,0.112,0.345,127.055,audio_features,4Nu07kdmj2GDenygAFmuT8,spotify:track:4Nu07kdmj2GDenygAFmuT8,https://api.spotify.com/v1/tracks/4Nu07kdmj2GDenygAFmuT8,https://api.spotify.com/v1/audio-analysis/4Nu07kdmj2GDenygAFmuT8,260000,4,Rvssian,1fctva4kpRbg2k3v7kwRuS,Privado,latin
3669,0.487,0.418,10,-6.184,1,0.032,0.442,0.0,0.17,0.588,93.236,audio_features,6ElbF1uBCYlazCH6jAoF5s,spotify:track:6ElbF1uBCYlazCH6jAoF5s,https://api.spotify.com/v1/tracks/6ElbF1uBCYlazCH6jAoF5s,https://api.spotify.com/v1/audio-analysis/6ElbF1uBCYlazCH6jAoF5s,160867,4,Vicente Fernández,4PPoI9LuYeFX8V674Z1R6l,El Hijo del Pueblo,latin
3670,0.565,0.548,0,-10.279,1,0.0431,0.358,0.0,0.287,0.341,149.966,audio_features,0XGr8vRBk9lIKZIbXZZs2N,spotify:track:0XGr8vRBk9lIKZIbXZZs2N,https://api.spotify.com/v1/tracks/0XGr8vRBk9lIKZIbXZZs2N,https://api.spotify.com/v1/audio-analysis/0XGr8vRBk9lIKZIbXZZs2N,212400,4,Son By Four,1qyAl8T6GTcaOViaI7fs1j,A Puro Dolor - Balada,latin
3671,0.451,0.823,5,-8.431,0,0.0354,0.207,0.175,0.123,0.625,149.501,audio_features,14UsoWbAPICOlScAO7upXt,spotify:track:14UsoWbAPICOlScAO7upXt,https://api.spotify.com/v1/tracks/14UsoWbAPICOlScAO7upXt,https://api.spotify.com/v1/audio-analysis/14UsoWbAPICOlScAO7upXt,298119,4,Phish,5wbIWUzTPuTxTyG6ouQKqz,Waiting All Night,alt-rock
3672,0.561,0.593,5,-9.362,1,0.0264,0.00327,0.00144,0.0967,0.574,80.282,audio_features,3Uvx1TO0Kg5HgGPk58lHXv,spotify:track:3Uvx1TO0Kg5HgGPk58lHXv,https://api.spotify.com/v1/tracks/3Uvx1TO0Kg5HgGPk58lHXv,https://api.spotify.com/v1/audio-analysis/3Uvx1TO0Kg5HgGPk58lHXv,253413,4,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,How's It Going to Be,alt-rock
